,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
101385,,,,[101342 101424    498],[101340 101421    493],
192090,,,,[192071 192129    414],,
101505,[101501 101508    139],,,[101501 101555    406],[101501 101555    406],
101346,,,,[101342 101424    498],[101340 101421    493],
101378,,,,[101342 101424    498],[101340 101421    493],
101503,[101501 101508    139],,,[101501 101555    406],[101501 101555    406],
136512,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
54796,[54796 54799    36],,,[54783 54812   469],[54783 54807   357],[54783 54807   357]
94585,,,,,,
101386,,,,[101342 101424    498],[101340 101421    493],
136490,[136489 136500    149],[136489 136500    149],[136489 136500    149],[136489 136502    405],[136489 136502    405],[136489 136502    405]
192087,,,,[192071 192129    414],,
14270,,,,,,
54713,,,,[54689 54782   486],,
110164,,,,[110160 110164    387],[110160 110164    387],[110161 110164    277]
136513,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
101381,,,,[101342 101424    498],[101340 101421    493],
136511,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
192088,,,,[192071 192129    414],,
136514,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
101506,[101501 101508    139],,,[101501 101555    406],[101501 101555    406],
31426,[31425 31429    54],[31425 31429    54],[31425 31429    54],[31416 31429   216],[31425 31434   216],[31411 31429   339]
212479,[212465 212487    148],,,[212465 212500    244],,
136363,[136354 136372    140],[136354 136372    140],[136354 136372    140],[136354 136390    335],[136354 136390    335],[136354 136390    335]
30962,[30961 30966    60],[30961 30966    60],[30961 30966    60],[30956 30973   489],[30959 30976   429],[30959 30966   195]
136515,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
170972,,,,,,
114133,,,,[114087 114142    414],,
54330,,,[54327 54330   114],[54326 54330   410],[54326 54330   410],[54327 54336   366]
139536,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
144970,[144964 144975    107],,,[144940 144975    487],[144947 144981    497],[144947 144981    497]
192089,,,,[192071 192129    414],,
54707,,,,[54689 54782   486],,
14159,,,,,,
32899,[32897 32904    97],,,[32872 32902   457],[32884 32904   306],
30961,[30961 30966    60],[30961 30966    60],[30961 30966    60],[30956 30973   489],[30959 30976   429],[30959 30966   195]
41178,,,,[41172 41178   186],[41177 41181   366],[41177 41181   366]
114385,[114382 114391     99],,,[114378 114395    335],[114381 114395    206],
14225,,,,[14218 14264   338],,
101507,[101501 101508    139],,,[101501 101555    406],[101501 101555    406],
136516,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
101382,,,,[101342 101424    498],[101340 101421    493],
101383,,,,[101342 101424    498],[101340 101421    493],
101388,,,,[101342 101424    498],[101340 101421    493],
101376,,,,[101342 101424    498],[101340 101421    493],
30981,[30981 30990   141],[30981 30990   141],,[30974 30990   294],[30977 30998   456],[30967 30991   480]
150269,[150252 150271    120],,,[150246 150273    411],,
128005,,,,[128005 128036    263],,
231670,[231668 231671    103],,,[231645 231671    411],[231668 231682    334],[231645 231670    357]
136507,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
98446,[98439 98454   144],,,[98425 98454   468],[98430 98457   351],
14153,,,,,,
136508,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
14271,,,,,,
136510,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
144971,[144964 144975    107],,,[144940 144975    487],[144947 144981    497],[144947 144981    497]
94584,,,,,,
14162,,,,,,
30987,[30981 30990   141],[30981 30990   141],,[30974 30990   294],[30977 30998   456],[30967 30991   480]
14154,,,,,,
136509,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
14250,,,,[14218 14264   338],,
170931,,,,,,
133353,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
39240,[39239 39242    71],[39239 39243   102],,[39239 39253   418],[39239 39253   418],
212434,,,,[212430 212464    466],[212430 212464    466],[212430 212464    466]
139537,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
170926,,,,,,
101389,,,,[101342 101424    498],[101340 101421    493],
3926,,,,,,
89859,[89856 89864   132],[89856 89864   132],[89856 89864   132],[89856 89876   417],[89856 89876   417],[89856 89876   417]
58544,,,,,,
62916,,,,,,
133373,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
33632,[33631 33634    98],,,[33631 33643   309],[33630 33638   322],[33627 33633   318]
17843,[17841 17849    93],[17841 17849    93],,[17841 17855   219],[17822 17849   496],
170933,,,,,,
132492,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
106182,,,,[106167 106183    282],[106167 106183    282],[106166 106183    492]
54038,,,,[54033 54038   280],[54033 54038   280],[54031 54038   492]
222056,,,,[222025 222056    432],[222055 222088    390],
171342,,,,,,
21041,,,,[21021 21042   349],[21035 21056   372],[21035 21056   372]
17639,[17635 17642   109],,,[17635 17666   404],[17635 17666   404],[17635 17666   404]
132483,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
217107,,,,[217080 217117    408],,
132491,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
41543,,,,[41521 41543   332],[41517 41543   428],[41521 41543   332]
132484,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
17880,[17869 17880   140],,,[17856 17883   372],[17870 17916   414],[17870 17916   414]
17994,[17994 17998    99],,,[17991 18005   396],[17994 18019   399],[17994 18019   399]
104628,,,,[104624 104685    478],[104624 104685    478],[104624 104685    478]
17877,[17869 17880   140],,,[17856 17883   372],[17870 17916   414],[17870 17916   414]
94464,,,,[94463 94497   382],[94463 94497   382],
54177,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
54058,,,,[54057 54061   492],,[54051 54059   426]
62915,,,,,,
209429,,,,[209395 209432    312],[209395 209432    312],
132488,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
17878,[17869 17880   140],,,[17856 17883   372],[17870 17916   414],[17870 17916   414]
205809,,,,[205788 205864    429],,
132470,,,,[132465 132476    492],[132468 132482    468],[132470 132476    168]
209430,,,,[209395 209432    312],[209395 209432    312],
41440,[41430 41441   127],,,[41424 41441   336],[41422 41441   413],[41425 41441   246]
17638,[17635 17642   109],,,[17635 17666   404],[17635 17666   404],[17635 17666   404]
54057,,,,[54057 54061   492],,[54051 54059   426]
17879,[17869 17880   140],,,[17856 17883   372],[17870 17916   414],[17870 17916   414]
205806,,,,[205788 205864    429],,
62914,,,,,,
17998,[17994 17998    99],,,[17991 18005   396],[17994 18019   399],[17994 18019   399]
132487,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
146345,,,,[146327 146380    411],,
132485,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
132490,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
54180,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
17872,[17869 17880   140],,,[17856 17883   372],[17870 17916   414],[17870 17916   414]
54040,,,,,,
18833,[18829 18834    94],[18829 18834    94],[18829 18834    94],[18829 18843   406],[18829 18845   463],[18814 18834   414]
101085,[101083 101088    138],[101083 101088    138],,[101085 101092    491],[101060 101086    346],
54182,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
161318,,,,,,
101084,[101083 101088    138],[101083 101088    138],,[101044 101084    498],[101060 101086    346],
60308,[60301 60317   143],,,[60301 60328   308],[60298 60328   415],[60301 60328   308]
133374,,,,[133331 133375    466],[133331 133375    466],[133374 133380    332]
106177,,,,[106167 106183    282],[106167 106183    282],[106166 106183    492]
229466,[229456 229466    101],,,[229456 229477    279],[229456 229491    491],[229447 229477    469]
20014,[20008 20014    99],,,[19999 20014   450],[20008 20031   472],
17875,[17869 17880   140],,,[17856 17883   372],[17870 17916   414],[17870 17916   414]
100980,[100980 100985     27],,,[100964 100985    228],[100964 100985    228],[100960 100985    288]
65226,[65223 65227    69],[65223 65227    69],[65223 65227    69],[65220 65227   449],[65223 65231   254],[65223 65231   254]
155276,,[155271 155278    112],[155271 155278    112],[155258 155278    439],[155254 155278    499],[155276 155282    231]
229452,[229451 229455     55],[229447 229455    147],,[229446 229455    216],[229443 229455    298],[229447 229477    469]
132489,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
54183,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
186094,[186094 186098    109],[186094 186098    109],,[186085 186108    408],[186094 186108    266],[186085 186108    408]
3923,,,,,,
132486,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
17635,[17635 17642   109],,,[17635 17666   404],[17635 17666   404],[17635 17666   404]
133330,,,,[133301 133330    255],[133298 133330    312],[133304 133373    494]
100979,[100966 100979    118],,,[100964 100985    228],[100964 100985    228],[100960 100985    288]
17636,[17635 17642   109],,,[17635 17666   404],[17635 17666   404],[17635 17666   404]
17874,[17869 17880   140],,,[17856 17883   372],[17870 17916   414],[17870 17916   414]
161319,,,,,,
132461,[132459 132462    144],[132460 132463     65],,[132459 132464    216],[132460 132467    184],[132460 132469    423]
17865,[17863 17868    68],,,[17856 17883   372],[17850 17869   312],
17868,[17863 17868    68],,,[17856 17883   372],[17850 17869   312],
201417,,,,[201412 201417    343],[201412 201417    343],[201412 201417    343]
54181,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
161320,,,,,,
209424,,,,[209395 209432    312],[209395 209432    312],
192358,,,,[192358 192375    266],[192351 192375    494],[192351 192375    494]
132467,[132463 132467    119],[132464 132467     78],,[132465 132476    492],[132460 132467    184],[132460 132469    423]
58546,,,,[58545 58574   430],[58545 58572   355],
41462,[41462 41465    89],[41462 41465    89],[41462 41465    89],[41462 41478   482],[41462 41478   482],[41462 41472   270]
95220,,,,,,
229453,[229451 229455     55],[229447 229455    147],,[229446 229455    216],[229443 229455    298],[229447 229477    469]
101087,[101083 101088    138],[101083 101088    138],,[101085 101092    491],[101087 101090    191],
20018,[20015 20019    87],,,[20015 20031   335],[20008 20031   472],
101086,[101083 101088    138],[101083 101088    138],,[101085 101092    491],[101060 101086    346],
32951,[32947 32957   116],[32947 32957   116],[32947 32957   116],[32930 32957   481],[32947 32968   287],[32930 32957   481]
229454,[229451 229455     55],[229447 229455    147],,[229446 229455    216],[229443 229455    298],[229447 229477    469]
150253,[150252 150271    120],,,[150246 150273    411],,
32950,[32947 32957   116],[32947 32957   116],[32947 32957   116],[32930 32957   481],[32947 32968   287],[32930 32957   481]
205804,,,,[205788 205864    429],,
205805,,,,[205788 205864    429],,
136604,[136597 136604     30],,,[136597 136628    448],[136591 136614    404],
132469,,,,[132465 132476    492],[132468 132482    468],[132460 132469    423]
132468,,,,[132465 132476    492],[132468 132482    468],[132460 132469    423]
135877,[135876 135887    120],[135877 135891    132],[135877 135891    132],[135874 135891    324],[135874 135891    324],[135874 135891    324]
