,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
94694,[94688 94698   128],[94688 94698   128],,[94666 94698   465],[94678 94698   304],[94678 94698   304]
20975,[20975 20987   131],,,[20944 20987   343],[20975 20991   388],[20944 20988   382]
77647,[77640 77647   145],[77640 77647   145],[77640 77647   145],[77646 77650   129],[77640 77647   145],[77640 77651   293]
32907,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
128047,,,,[128037 128097    478],,
144592,[144584 144592    138],[144584 144592    138],,[144578 144597    404],[144578 144599    461],[144578 144599    461]
77683,[77680 77685   118],,,[77680 77691   299],[77680 77688   225],[77680 77688   225]
73222,,,,,,
20974,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
127887,[127884 127888    109],[127885 127888     40],[127885 127888     40],[127884 127890    223],[127885 127897    246],[127885 127897    246]
192103,,,,[192071 192129    414],,
114129,,,,[114087 114142    414],,
32909,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
32914,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
32910,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
31450,,,,[31445 31450   129],[31435 31450   432],[31449 31472   441]
127358,,,,,,
95223,,,,,,
127364,,,,,,
33701,[33693 33701   107],[33693 33702   146],[33693 33702   146],[33697 33708   410],[33690 33702   270],[33690 33702   270]
136521,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
192106,,,,[192071 192129    414],,
99087,,,,,,
41243,[41242 41245   109],,,[41224 41245   451],[41231 41245   265],[41231 41245   265]
99387,,,,,,
99386,,,,,,
99389,,,,,,
192102,,,,[192071 192129    414],,
91375,[91367 91376    81],,,[91367 91385   168],,
33703,[33702 33705   103],,,[33697 33708   410],[33703 33708   252],[33703 33708   252]
114130,,,,[114087 114142    414],,
94691,[94688 94698   128],[94688 94698   128],,[94666 94698   465],[94678 94698   304],[94678 94698   304]
127366,,,,,,
31471,,,,[31451 31471   317],[31451 31475   496],[31449 31472   441]
192105,,,,[192071 192129    414],,
215029,,,,[214979 215035    446],,
30762,[30759 30763    67],[30762 30765    39],,[30762 30771   192],[30762 30779   456],[30754 30771   310]
21676,,,,[21649 21677   381],[21651 21679   364],[21651 21682   432]
106342,[106342 106347    120],[106342 106347    120],,[106334 106347    294],[106342 106347    120],[106334 106347    294]
25779,[25779 25782   136],[25779 25782   136],[25779 25782   136],[25777 25784   343],[25771 25780   386],[25777 25788   436]
215043,,,,,,
76367,,,,[76339 76375   382],[76339 76375   382],[76339 76375   382]
127933,,,,,[127932 127947    162],
675,[668 677  63],,,[651 677 439],[658 685 479],[658 685 479]
215031,,,,[214979 215035    446],,
106101,,[106098 106101     99],[106098 106101     99],[106101 106108    376],[106098 106103    232],[106098 106103    232]
215039,,,,,,
215038,,,,,,
215035,,,,[214979 215035    446],,
215037,,,,,,
174262,[174258 174262    100],[174258 174262    100],,[174248 174262    451],[174250 174264    426],[174258 174264    162]
215040,,,,,,
215032,,,,[214979 215035    446],,
215036,,,,,,
30761,[30759 30763    67],[30754 30761    70],,[30744 30761   268],[30744 30761   268],[30754 30771   310]
128107,[128098 128107     72],[128098 128107     72],[128098 128107     72],[128098 128107     72],[128098 128107     72],[128098 128107     72]
3811,,,,,,
31362,[31360 31368   145],[31362 31368    97],,[31340 31363   434],[31342 31368   400],[31342 31369   441]
215050,,,,,,
174258,[174258 174262    100],[174258 174262    100],,[174248 174262    451],[174250 174264    426],[174258 174264    162]
206025,,,,[206008 206071    471],[206008 206071    471],
215041,,,,,,
215034,,,,[214979 215035    446],,
215052,,,,,,
133365,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
215049,,,,,,
215047,,,,,,
94650,[94646 94657    68],,,[94636 94665   446],[94637 94677   473],[94637 94677   473]
215042,,,,,,
215048,,,,,,
30841,[30838 30846   138],[30839 30846    96],,[30838 30853   316],[30822 30846   408],[30822 30847   453]
215044,,,,,,
33655,[33648 33656   110],,,[33644 33658   492],[33647 33658   229],[33644 33656   420]
19998,,[19998 20001   104],[19998 20001   104],[19986 19998   255],[19998 20007   311],[19998 20007   311]
3695,,,,,,
127932,,,,,[127932 127947    162],
174259,[174258 174262    100],[174258 174262    100],,[174248 174262    451],[174250 174264    426],[174258 174264    162]
19894,[19892 19897   103],,,[19892 19931   491],[19889 19923   408],[19892 19931   491]
128139,,,,,,
174261,[174258 174262    100],[174258 174262    100],,[174248 174262    451],[174250 174264    426],[174258 174264    162]
94648,[94646 94657    68],,,[94636 94665   446],[94637 94677   473],[94637 94677   473]
3814,,,,,,
21110,[21107 21110    92],,,[21102 21110   229],[21108 21113   162],[21108 21113   162]
161276,,,,,,
223357,,,,[223357 223365    237],[223355 223365    367],[223355 223366    410]
94651,[94646 94657    68],,,[94636 94665   446],[94637 94677   473],[94637 94677   473]
20235,[20233 20245    84],,,[20223 20245   405],[20233 20262   323],[20233 20262   323]
30839,[30838 30846   138],[30839 30846    96],,[30838 30853   316],[30822 30846   408],[30822 30847   453]
215051,,,,,,
127934,,,,,[127932 127947    162],
185143,,,,,,
14214,,,,,,
101553,,,,[101501 101555    406],[101501 101555    406],
94577,,,,,,
14219,[14218 14222    20],,,[14218 14264   338],,
115655,,,,,,
19893,[19892 19897   103],,,[19892 19931   491],[19889 19923   408],[19892 19931   491]
128098,[128098 128107     72],[128098 128107     72],[128098 128107     72],[128098 128107     72],[128098 128107     72],[128098 128107     72]
205857,,,,[205788 205864    429],,
94576,,,,,,
14224,,,,[14218 14264   338],,
14215,,,,,,
233665,,,,[233651 233685    473],[233663 233694    403],
14223,,,,[14218 14264   338],,
14213,,,,,,
14216,,,,,,
14212,,,,,,
14217,,,,,,
14221,[14218 14222    20],,,[14218 14264   338],,
14220,[14218 14222    20],,,[14218 14264   338],,
94575,,,,,,
232128,,,,[232123 232147    288],,
41378,[41377 41383   148],,,[41373 41387   365],[41373 41379   197],[41377 41389   265]
23944,,,,,,
232129,,,,[232123 232147    288],,
232127,,,,[232123 232147    288],,
232136,,,,[232123 232147    288],,
232133,,,,[232123 232147    288],,
232147,,,,[232123 232147    288],,
128075,,,,[128037 128097    478],,
232141,,,,[232123 232147    288],,
50794,,[50790 50797    60],[50790 50797    60],[50789 50797   429],[50790 50799   154],[50790 50799   154]
232137,,,,[232123 232147    288],,
205756,,,,[205738 205787    459],,
41377,[41377 41383   148],,,[41373 41387   365],[41373 41379   197],[41377 41389   265]
232138,,,,[232123 232147    288],,
43090,,,,[43090 43105   440],[43090 43105   440],[43090 43104   356]
41382,[41377 41383   148],,,[41373 41387   365],[41380 41391   298],[41377 41389   265]
232126,,,,[232123 232147    288],,
41381,[41377 41383   148],,,[41373 41387   365],[41380 41391   298],[41377 41389   265]
19190,[19189 19194   111],[19189 19194   111],,[19189 19205   300],[19189 19205   300],
41380,[41377 41383   148],,,[41373 41387   365],[41380 41391   298],[41377 41389   265]
205757,,,,[205738 205787    459],,
110149,,,,[110148 110152    308],[110148 110152    308],[110148 110152    308]
110148,,,,[110148 110152    308],[110148 110152    308],[110148 110152    308]
