,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
145066,[145063 145077    149],[145063 145069     77],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
145068,[145063 145077    149],[145063 145069     77],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
19174,,,,,,
222282,,,,[222271 222311    456],,
145060,[145036 145062    139],,,[144982 145062    482],[144982 145062    482],[144982 145062    482]
56232,[56226 56232   136],[56226 56232   136],,[56220 56232   209],[56226 56260   486],[56226 56260   486]
136471,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
145061,[145036 145062    139],,,[144982 145062    482],[144982 145062    482],[144982 145062    482]
115453,[115451 115454    113],[115451 115454    113],[115451 115454    113],[115453 115477    333],[115451 115477    442],[115451 115478    484]
168500,[168491 168503     91],[168491 168503     91],[168491 168503     91],[168491 168503     91],[168491 168503     91],[168486 168503    341]
44502,,,,[44502 44522   288],[44502 44530   412],[44502 44530   412]
62993,[62991 63002   148],[62991 62994    51],,[62976 63005   375],[62976 62994   223],[62991 63005   203]
169319,[169317 169323    147],[169317 169323    147],[169317 169323    147],[169309 169323    450],[169309 169323    450],[169304 169319    477]
89732,[89728 89746   135],[89728 89746   135],,[89706 89746   393],[89728 89746   135],
145077,[145063 145077    149],[145070 145084     78],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
21022,[21021 21034   120],[21021 21034   120],[21021 21034   120],[21021 21042   349],[21006 21034   261],[21006 21034   261]
145069,[145063 145077    149],[145063 145069     77],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
101673,,,,[101636 101675    355],[101634 101673    401],[101636 101679    441]
12065,[12064 12091   135],[12064 12091   135],,[12023 12091   478],[12064 12103   303],
145067,[145063 145077    149],[145063 145069     77],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
136475,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
95113,[95109 95115   139],[95112 95118    89],[95112 95118    89],[95112 95127   335],[95112 95126   287],[95109 95127   437]
127394,,,,,,
185031,,,,,,
16814,,,,[16785 16819   466],[16785 16819   466],[16785 16819   466]
54163,,,,[54113 54170   467],[54113 54170   467],[54113 54164   286]
136466,,,,[136465 136488    368],[136465 136488    368],[136465 136488    368]
20974,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
196702,[196697 196702     33],[196696 196703    143],[196696 196703    143],[196697 196709    182],[196693 196703    253],[196696 196709    256]
43611,,,,,,
22881,[22878 22881    66],[22878 22881    66],,[22878 22896   339],[22866 22881   326],[22876 22899   469]
145075,[145063 145077    149],[145070 145084     78],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
62902,,,,,,
145074,[145063 145077    149],[145070 145084     78],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
189056,,,,[189038 189090    406],[189044 189090    327],
101017,[101008 101018    141],[101008 101018    141],[101008 101018    141],[101003 101018    349],[101008 101023    318],[101008 101023    318]
101092,[101091 101095    147],[101091 101095    147],[101091 101095    147],[101085 101092    491],[101091 101098    345],[101089 101092    233]
206112,[206101 206116     69],,,[206101 206145    441],[206097 206131    371],[206095 206131    431]
145071,[145063 145077    149],[145070 145084     78],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
188625,,,,[188616 188635    352],,
19175,,,,,,
186994,,,,,,
11827,,,,,,
132475,[132472 132482    140],[132472 132482    140],[132472 132482    140],[132465 132476    492],[132468 132482    468],[132470 132476    168]
20138,,,,[20133 20138   375],[20133 20140   432],[20137 20145   437]
12063,,,,[12023 12091   478],,
145078,[145078 145084     18],[145070 145084     78],,[145063 145084    198],[145063 145084    198],[145063 145084    198]
94875,[94874 94877    72],[94874 94877    72],[94874 94877    72],[94870 94877   292],[94867 94877   368],[94872 94877   198]
114128,,,,[114087 114142    414],,
150252,[150252 150271    120],,,[150246 150273    411],,
115449,,,,[115448 115452    387],[115444 115450    280],[115442 115450    394]
224223,[224220 224233    133],[224220 224233    133],,[224211 224233    405],[224220 224233    133],[224216 224233    222]
27427,,,,[27384 27491   476],,
85394,,,,[85365 85413   447],,
229579,[229570 229579    144],[229570 229579    144],,[229570 229579    144],[229570 229587    366],
222287,,,,[222271 222311    456],,
136464,,,,,,
47457,,[47453 47457   138],,[47455 47472   326],[47447 47467   433],[47447 47457   281]
20952,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
20953,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
133362,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
188657,,,,[188636 188658    350],[188656 188671    277],[188656 188676    401]
18978,,,,[18951 19045   422],[18951 19045   422],
222283,,,,[222271 222311    456],,
114068,,,,[114034 114070    470],[114034 114070    470],
207934,[207931 207939    133],[207931 207939    133],[207931 207939    133],[207929 207941    298],[207931 207946    328],[207919 207939    386]
132537,,,,,,
54498,,,,[54490 54521   390],[54493 54554   445],[54493 54554   445]
11856,,,,,,
11851,,,,,,
205953,,,,,,
223360,,,,[223357 223365    237],[223355 223365    367],[223355 223366    410]
205952,,,,,,
32930,[32930 32939    99],[32930 32939    99],,[32930 32957   481],[32905 32939   439],[32930 32957   481]
114130,,,,[114087 114142    414],,
161286,,,,,,
3507,,,,,,
182011,,,,,,
206034,,,,[206008 206071    471],[206008 206071    471],
94599,,,,,,
161306,,,,,,
19952,[19952 19955   143],[19952 19955   143],,[19932 19953   396],[19945 19959   404],[19932 19953   396]
67200,[67194 67201   108],,,[67185 67201   303],[67182 67201   408],[67185 67206   390]
170926,,,,,,
136516,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
54793,,,,[54783 54812   469],[54783 54807   357],[54783 54807   357]
206013,,,,[206008 206071    471],[206008 206071    471],
127224,[127219 127224     91],[127219 127224     91],[127219 127224     91],[127219 127234    294],[127210 127224    489],[127210 127224    489]
230275,,,,[230241 230292    458],,
139465,,,,[139463 139468    419],[139463 139468    419],[139456 139465    331]
136515,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
107024,,,,[107006 107050    393],[107002 107050    478],[107002 107050    478]
3785,,,,,,
217922,,,,,,
109635,,,,[109617 109649    459],,
54815,,,,[54813 54838   318],[54808 54815   188],[54808 54815   188]
75494,,,,[75474 75511   276],[75444 75509   423],
185081,,,,,,
206097,[206095 206098     81],[206095 206099    121],[206095 206099    121],[206072 206100    493],[206097 206131    371],[206095 206131    431]
188672,[188672 188676     81],[188672 188676     81],,[188659 188676    289],[188672 188696    419],[188656 188676    401]
182031,,,,,,
94614,,,,,,
94641,[94641 94645    60],,,[94636 94665   446],[94637 94677   473],[94637 94677   473]
58562,,,,[58545 58574   430],[58545 58572   355],
54817,,,,[54813 54838   318],[54816 54850   418],[54816 54851   467]
139529,[139528 139543    115],[139529 139546    133],[139529 139546    133],[139518 139549    433],[139518 139550    466],[139518 139546    293]
143885,,,,[143883 143937    490],,
189421,,,,[189419 189488    477],[189419 189488    477],
38027,,,,,,
77711,[77710 77721   113],[77710 77721   113],,[77710 77732   326],[77710 77732   326],[77710 77738   466]
54554,,,,[54522 54564   389],[54493 54554   445],[54493 54554   445]
44413,[44411 44415   135],[44408 44413   129],[44408 44413   129],[44403 44415   433],[44411 44440   408],[44403 44413   352]
107333,,,,[107313 107340    393],,
33170,,,,[33159 33176   259],[33150 33176   404],[33150 33176   404]
77710,[77710 77721   113],[77710 77721   113],,[77710 77732   326],[77710 77732   326],[77710 77738   466]
94598,,,,,,
206039,,,,[206008 206071    471],[206008 206071    471],
132462,[132459 132462    144],[132460 132463     65],,[132459 132464    216],[132460 132467    184],[132460 132469    423]
196697,[196697 196702     33],[196696 196703    143],[196696 196703    143],[196697 196709    182],[196693 196703    253],[196696 196709    256]
161295,,,,,,
127098,[127097 127101    147],[127097 127101    147],[127097 127101    147],[127090 127104    333],[127090 127109    417],[127087 127101    402]
192380,,,,[192376 192405    390],[192376 192405    390],[192376 192406    431]
188663,[188663 188671     89],,,[188659 188676    289],[188656 188671    277],[188656 188676    401]
44403,[44403 44406   132],,,[44403 44415   433],[44403 44410   256],[44403 44413   352]
150256,[150252 150271    120],,,[150246 150273    411],,
133513,,,,[133510 133515    467],[133510 133515    467],[133510 133515    467]
101485,,,,[101477 101487    406],[101484 101491    438],[101484 101492    484]
150255,[150252 150271    120],,,[150246 150273    411],,
120487,[120482 120490     72],[120482 120490     72],[120482 120490     72],[120464 120490    484],[120467 120490    394],[120467 120490    394]
94670,[94666 94677   108],,,[94666 94698   465],[94637 94677   473],[94637 94677   473]
150875,,,,[150859 150939    484],,
54795,,,,[54783 54812   469],[54783 54807   357],[54783 54807   357]
161296,,,,,,
19059,[19046 19060   132],,,[19046 19076   306],[19046 19076   306],
107334,,,,[107313 107340    393],,
176273,[176270 176275     57],,,[176262 176283    327],[176262 176283    327],
67406,[67400 67413    92],[67400 67413    92],[67400 67413    92],[67400 67427   492],[67400 67426   443],[67400 67427   492]
94674,[94666 94677   108],,,[94666 94698   465],[94637 94677   473],[94637 94677   473]
132450,,,,,,
185764,[185763 185772     95],,,[185760 185777    371],[185763 185782    323],[185763 185784    425]
19273,[19268 19274    98],[19266 19274   146],,[19261 19274   220],[19258 19274   499],[19258 19274   499]
58559,,,,[58545 58574   430],[58545 58572   355],
19951,[19945 19951    99],[19945 19951    99],,[19932 19953   396],[19945 19959   404],[19932 19953   396]
32949,[32947 32957   116],[32947 32957   116],[32947 32957   116],[32930 32957   481],[32947 32968   287],[32930 32957   481]
107025,,,,[107006 107050    393],[107002 107050    478],[107002 107050    478]
166834,,,,[166757 166834    433],,
171532,,,,,,
94597,,,,,,
136490,[136489 136500    149],[136489 136500    149],[136489 136500    149],[136489 136502    405],[136489 136502    405],[136489 136502    405]
56165,[56164 56171   111],,,[56162 56176   196],[56126 56166   454],
132460,[132459 132462    144],[132460 132463     65],,[132459 132464    216],[132460 132467    184],[132460 132469    423]
89698,[89694 89705   144],[89694 89703    54],[89694 89703    54],[89680 89705   407],[89694 89727   326],[89694 89727   326]
138537,,,,[138500 138554    477],[138528 138557    381],
234232,,,,[234225 234239    386],[234216 234234    426],[234216 234234    426]
168622,[168618 168624     73],[168618 168624     73],[168618 168624     73],[168611 168635    338],[168611 168624    182],[168611 168624    182]
89697,[89694 89705   144],[89694 89703    54],[89694 89703    54],[89680 89705   407],[89694 89727   326],[89694 89727   326]
39265,[39256 39265   144],[39262 39265    24],[39256 39265   144],[39262 39267   407],[39262 39267   407],[39262 39267   407]
54252,[54251 54255    86],[54251 54255    86],[54251 54255    86],[54223 54252   456],[54223 54252   456],[54251 54255    86]
96619,,,,[96609 96668   436],[96609 96668   436],[96610 96660   243]
136514,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
179996,[179994 180007     96],[179994 180008    135],[179994 180008    135],[179983 180007    450],[179983 180008    489],[179983 180008    489]
168623,[168618 168624     73],[168618 168624     73],[168618 168624     73],[168611 168635    338],[168611 168624    182],[168611 168624    182]
168629,[168625 168635    100],[168625 168635    100],[168625 168635    100],[168611 168635    338],[168625 168637    282],[168625 168646    462]
96630,,,,[96609 96668   436],[96609 96668   436],[96610 96660   243]
