,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
136490,[136489 136500    149],[136489 136500    149],[136489 136500    149],[136489 136502    405],[136489 136502    405],[136489 136502    405]
16792,,,,[16785 16819   466],[16785 16819   466],[16785 16819   466]
19979,,,,[19965 19985   372],[19968 19997   494],[19968 19997   494]
54570,[54565 54571   131],,,[54565 54578   338],[54555 54571   278],[54555 54571   278]
6923,,,,[6901 6929  366],[6901 6929  366],
54230,,,,[54223 54252   456],[54223 54252   456],[54223 54250   354]
189249,[189249 189267    131],,,[189238 189274    497],[189238 189269    427],[189249 189280    366]
155269,[155265 155269     93],[155265 155270    127],,[155258 155278    439],[155254 155278    499],[155252 155275    481]
150255,[150252 150271    120],,,[150246 150273    411],,
20976,[20975 20987   131],,,[20944 20987   343],[20975 20991   388],[20944 20988   382]
169457,[169456 169459     10],[169456 169459     10],,[169446 169459    315],[169444 169459    438],[169444 169459    438]
201278,[201273 201280     85],[201273 201280     85],[201273 201280     85],[201273 201282    234],[201262 201280    269],[201258 201280    371]
39265,[39256 39265   144],[39262 39265    24],[39256 39265   144],[39262 39267   407],[39262 39267   407],[39262 39267   407]
41463,[41462 41465    89],[41462 41465    89],[41462 41465    89],[41462 41478   482],[41462 41478   482],[41462 41472   270]
209423,,,,[209395 209432    312],[209395 209432    312],
209426,,,,[209395 209432    312],[209395 209432    312],
209422,,,,[209395 209432    312],[209395 209432    312],
209425,,,,[209395 209432    312],[209395 209432    312],
20971,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
209420,,,,[209395 209432    312],[209395 209432    312],
193155,,,,[193155 193180    324],[193155 193180    324],[193155 193180    324]
84939,,,,,,
136519,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136520,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
209431,,,,[209395 209432    312],[209395 209432    312],
228532,[228528 228532     84],[228528 228532     84],[228528 228532     84],[228528 228539    231],[228528 228539    231],[228523 228532    243]
136521,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
150256,[150252 150271    120],,,[150246 150273    411],,
133961,,,,[133951 133979    450],[133951 133979    450],
88890,[88884 88890    35],,,[88860 88895   483],[88860 88895   483],[88860 88895   483]
132441,[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141]
189542,,,,[189534 189554    329],[189530 189549    290],
28221,[28218 28225    83],[28218 28225    83],[28218 28225    83],[28218 28244   463],[28218 28244   463],[28218 28240   349]
20973,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
20972,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
136507,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
205298,,,,[205284 205299    292],[205297 205319    302],[205297 205324    409]
175067,[175066 175074     95],,,[175064 175074    245],[175060 175074    381],[175064 175079    388]
52251,[52249 52258   144],,,[52249 52275   437],[52249 52265   305],[52249 52261   191]
136518,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
173570,[173569 173572     36],,,[173561 173572    310],[173562 173591    431],[173562 173591    431]
20975,[20975 20987   131],,,[20944 20987   343],[20975 20991   388],[20944 20988   382]
136517,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136508,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
52471,[52465 52473   141],,,[52462 52473   279],[52465 52485   364],[52465 52475   212]
136509,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
36611,[36607 36612   144],[36607 36612   144],[36607 36612   144],[36603 36612   281],[36607 36615   263],[36607 36615   263]
60653,,,,[60623 60663   340],[60623 60665   447],[60623 60665   447]
136510,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
7313,[7310 7315  110],[7311 7315   69],[7312 7315   15],[7307 7318  330],[7307 7324  468],[7308 7315  180]
31110,[31106 31110    94],[31106 31110    94],,[31106 31121   330],[31104 31110   335],
20974,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
136516,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136515,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
136511,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136513,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136514,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
136512,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
132000,[132000 132008    147],,,[131985 132020    489],[131985 132020    489],[131985 132020    489]
136506,,,,,,
