,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
114729,,,,[114702 114741    413],[114704 114743    401],[114704 114743    401]
70061,[70060 70068    71],,,[70054 70084   418],[70049 70082   450],[70060 70084   333]
65029,,,,[64961 65038   450],,
65030,,,,[64961 65038   450],,
81914,,,,[81907 81922   231],[81907 81929   348],
181923,,,,,,
181932,,,,,,
19635,[19631 19636   128],[19631 19636   128],,[19626 19636   276],[19635 19654   324],[19626 19636   276]
107081,,,,[107051 107095    444],[107051 107095    444],
181934,,,,,,
91320,,,,[91303 91366   438],,
164723,[164720 164729     71],,,[164710 164731    366],[164702 164729    443],[164702 164729    443]
101547,,,,[101501 101555    406],[101501 101555    406],
234100,,,,[234078 234114    397],[234078 234114    397],
192083,,,,[192071 192129    414],,
19676,[19674 19678   117],[19675 19684   144],[19675 19684   144],[19661 19684   407],[19670 19684   306],[19670 19684   306]
16829,[16823 16834    82],[16823 16834    82],,[16820 16844   395],[16820 16844   395],[16820 16844   395]
3562,,,,,,
107062,,,,[107051 107095    444],[107051 107095    444],
32850,,,,[32825 32850   282],[32825 32850   282],[32822 32856   482]
58567,,,,[58545 58574   430],[58545 58572   355],
73228,,,,,,
19677,[19674 19678   117],[19675 19684   144],[19675 19684   144],[19661 19684   407],[19670 19684   306],[19670 19684   306]
19941,[19932 19944   137],[19932 19944   137],[19932 19944   137],[19932 19953   396],[19924 19944   334],[19932 19953   396]
12155,,,,[12145 12173   376],[12145 12173   376],[12145 12169   309]
12059,,,,[12023 12091   478],,
229549,,,,[229538 229569    438],[229538 229569    438],
139522,[139518 139527     74],[139518 139528    107],[139518 139528    107],[139518 139549    433],[139518 139550    466],[139518 139546    293]
222208,[222203 222208     83],[222203 222208     83],,[222192 222217    472],[222203 222208     83],
139515,,,,[139491 139517    364],[139491 139517    364],[139491 139517    364]
3537,,,,,,
181779,[181779 181787     98],,,[181776 181791    469],[181758 181787    476],
41051,[41049 41057    75],,,[41037 41062   458],[41037 41064   494],[41039 41064   412]
65028,,,,[64961 65038   450],,
181780,[181779 181787     98],,,[181776 181791    469],[181758 181787    476],
65027,,,,[64961 65038   450],,
3540,,,,,,
3538,,,,,,
19990,[19986 19996   135],,,[19986 19998   255],[19968 19997   494],[19968 19997   494]
181936,,,,,,
44404,[44403 44406   132],,,[44403 44415   433],[44403 44410   256],[44403 44413   352]
19994,[19986 19996   135],,,[19986 19998   255],[19968 19997   494],[19968 19997   494]
32913,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
20002,[20002 20007    93],[20002 20007    93],[20002 20007    93],[19999 20014   450],[19998 20007   311],[19998 20007   311]
16711,[16705 16711    98],[16705 16711    98],[16705 16711    98],[16710 16713   105],[16710 16713   105],[16683 16711   422]
32912,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
139524,[139518 139527     74],[139518 139528    107],[139518 139528    107],[139518 139549    433],[139518 139550    466],[139518 139546    293]
3535,,,,,,
58564,,,,[58545 58574   430],[58545 58572   355],
3533,,,,,,
3549,,,,,,
215289,,,,[215273 215299    451],[215273 215299    451],[215273 215299    451]
181909,,,,,,
139519,[139518 139527     74],[139518 139528    107],[139518 139528    107],[139518 139549    433],[139518 139550    466],[139518 139546    293]
215438,,,,[215433 215460    377],[215421 215455    393],
19636,[19631 19636   128],[19631 19636   128],,[19626 19636   276],[19635 19654   324],[19626 19636   276]
20009,[20008 20014    99],,,[19999 20014   450],[20008 20031   472],
215291,,,,[215273 215299    451],[215273 215299    451],[215273 215299    451]
19988,[19986 19996   135],,,[19986 19998   255],[19968 19997   494],[19968 19997   494]
73229,,,,,,
114394,[114392 114395     36],,,[114378 114395    335],[114381 114395    206],
3553,,,,,,
16827,[16823 16834    82],[16823 16834    82],,[16820 16844   395],[16820 16844   395],[16820 16844   395]
98001,,,,[97991 98023   420],[97987 98017   347],[97991 98023   420]
215290,,,,[215273 215299    451],[215273 215299    451],[215273 215299    451]
229551,,,,[229538 229569    438],[229538 229569    438],
229555,,,,[229538 229569    438],[229538 229569    438],
215295,,,,[215273 215299    451],[215273 215299    451],[215273 215299    451]
95223,,,,,,
127536,[127535 127543    143],,,[127530 127546    357],[127526 127549    484],
215293,,,,[215273 215299    451],[215273 215299    451],[215273 215299    451]
3541,,,,,,
186999,,,,,,
20135,[20131 20136   135],[20131 20136   135],[20131 20136   135],[20133 20138   375],[20133 20140   432],[20131 20136   135]
58558,,,,[58545 58574   430],[58545 58572   355],
3539,,,,,,
229552,,,,[229538 229569    438],[229538 229569    438],
32851,[32851 32856    73],[32851 32856    73],,[32851 32871   475],[32851 32858   183],[32822 32856   482]
170912,,,,,,
19991,[19986 19996   135],,,[19986 19998   255],[19968 19997   494],[19968 19997   494]
58569,,,,[58545 58574   430],[58545 58572   355],
44406,[44403 44406   132],,,[44403 44415   433],[44403 44410   256],[44403 44413   352]
229547,,,,[229538 229569    438],[229538 229569    438],
58565,,,,[58545 58574   430],[58545 58572   355],
32903,[32897 32904    97],,,[32903 32929   309],[32884 32904   306],[32903 32929   309]
139525,[139518 139527     74],[139518 139528    107],[139518 139528    107],[139518 139549    433],[139518 139550    466],[139518 139546    293]
47415,,,,[47400 47427   372],[47408 47430   404],[47409 47430   341]
73233,,,,,,
19992,[19986 19996   135],,,[19986 19998   255],[19968 19997   494],[19968 19997   494]
215296,,,,[215273 215299    451],[215273 215299    451],[215273 215299    451]
32911,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
58566,,,,[58545 58574   430],[58545 58572   355],
20005,[20002 20007    93],[20002 20007    93],[20002 20007    93],[19999 20014   450],[19998 20007   311],[19998 20007   311]
32910,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
32909,[32905 32914    59],,,[32903 32929   309],[32905 32939   439],[32903 32929   309]
20134,[20131 20136   135],[20131 20136   135],[20131 20136   135],[20133 20138   375],[20133 20140   432],[20131 20136   135]
20007,[20002 20007    93],[20002 20007    93],[20002 20007    93],[19999 20014   450],[19998 20007   311],[19998 20007   311]
20133,[20131 20136   135],[20131 20136   135],[20131 20136   135],[20133 20138   375],[20133 20140   432],[20131 20136   135]
20004,[20002 20007    93],[20002 20007    93],[20002 20007    93],[19999 20014   450],[19998 20007   311],[19998 20007   311]
