,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
91348,,,,[91303 91366   438],,
109455,[109453 109457    105],[109451 109457    147],[109451 109457    147],[109451 109466    303],[109439 109468    487],[109439 109457    292]
91354,,,,[91303 91366   438],,
91430,[91427 91436   141],[91427 91432    51],,[91427 91449   345],[91427 91432    51],
91355,,,,[91303 91366   438],,
91356,,,,[91303 91366   438],,
91361,,,,[91303 91366   438],,
91352,,,,[91303 91366   438],,
91353,,,,[91303 91366   438],,
91359,,,,[91303 91366   438],,
23909,,,,,,
91432,[91427 91436   141],[91427 91432    51],,[91427 91449   345],[91427 91432    51],
91349,,,,[91303 91366   438],,
123606,,,,[123606 123615    341],[123580 123613    431],[123580 123613    431]
41169,,,,[41157 41171   265],[41169 41176   240],[41138 41169   412]
91384,[91377 91385    43],[91377 91385    43],,[91367 91385   168],[91377 91426   466],
91360,,,,[91303 91366   438],,
110168,[110168 110174     95],[110168 110175    127],[110168 110175    127],[110165 110174    448],[110165 110175    480],[110165 110175    480]
41579,[41577 41582    89],[41576 41582   120],,[41573 41589   415],[41573 41582   284],[41573 41582   284]
41547,,,,[41544 41555   369],[41544 41555   369],[41544 41555   369]
136510,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
99368,,,,,,
91365,,,,[91303 91366   438],,
99366,,,,,,
99401,,,,,,
136509,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
91387,,,,[91386 91426   360],[91377 91426   466],
110170,[110168 110174     95],[110168 110175    127],[110168 110175    127],[110165 110174    448],[110165 110175    480],[110165 110175    480]
136515,[136515 136519     79],[136515 136519     79],[136515 136519     79],[136515 136527    493],[136515 136525    322],[136515 136525    322]
110169,[110168 110174     95],[110168 110175    127],[110168 110175    127],[110165 110174    448],[110165 110175    480],[110165 110175    480]
109450,[109439 109452    148],[109439 109450     69],[109439 109450     69],[109394 109450    455],[109439 109468    487],[109439 109457    292]
91443,[91437 91446    93],,,[91427 91449   345],,
41504,,,,[41493 41513   460],[41496 41516   449],[41498 41520   473]
91364,,,,[91303 91366   438],,
28221,[28218 28225    83],[28218 28225    83],[28218 28225    83],[28218 28244   463],[28218 28244   463],[28218 28240   349]
136508,,,,[136507 136514    395],[136507 136514    395],[136507 136514    395]
110172,[110168 110174     95],[110168 110175    127],[110168 110175    127],[110165 110174    448],[110165 110175    480],[110165 110175    480]
110173,[110168 110174     95],[110168 110175    127],[110168 110175    127],[110165 110174    448],[110165 110175    480],[110165 110175    480]
91385,[91377 91385    43],[91377 91385    43],,[91367 91385   168],[91377 91426   466],
91366,,,,[91303 91366   438],,
91369,[91367 91376    81],,,[91367 91385   168],,
110171,[110168 110174     95],[110168 110175    127],[110168 110175    127],[110165 110174    448],[110165 110175    480],[110165 110175    480]
20108,[20106 20116   143],[20106 20116   143],[20106 20116   143],[20106 20127   439],[20108 20126   305],[20106 20116   143]
43238,,,,,,
20839,,,,[20815 20839   405],[20817 20846   450],
63573,,,,[63566 63592   392],[63572 63592   240],[63572 63592   240]
42261,,,,[42225 42265   478],,
23460,,,,[23436 23470   426],[23436 23470   426],
22290,[22286 22298   139],[22286 22298   139],,[22288 22314   404],[22280 22312   475],[22280 22312   475]
54574,[54572 54578   122],,,[54565 54578   338],[54572 54592   497],[54572 54584   286]
54792,,,,[54783 54812   469],[54783 54807   357],[54783 54807   357]
21606,[21598 21607   126],,,[21589 21607   422],[21598 21619   412],[21595 21617   435]
54685,[54684 54688    36],,,[54668 54688   164],,
19245,[19243 19247    54],,,[19240 19247   222],[19240 19250   405],[19240 19250   405]
19726,,,,,,
94670,[94666 94677   108],,,[94666 94698   465],[94637 94677   473],[94637 94677   473]
19243,[19243 19247    54],,,[19240 19247   222],[19240 19250   405],[19240 19250   405]
54691,,,,[54689 54782   486],,
22253,[22252 22259   137],,,[22244 22263   497],[22244 22259   406],[22244 22263   497]
19241,,,,[19240 19247   222],[19240 19250   405],[19240 19250   405]
19718,,,,,,
22291,[22286 22298   139],[22286 22298   139],,[22288 22314   404],[22280 22312   475],[22280 22312   475]
36757,[36753 36760    96],[36753 36760    96],,[36742 36762   375],[36753 36771   463],[36733 36760   449]
54683,[54668 54683    95],,,[54668 54688   164],,
54735,,,,[54689 54782   486],,
37605,[37605 37614    99],[37605 37614    99],,[37605 37622   363],[37593 37619   474],[37593 37617   393]
19810,,,,,,
54736,,,,[54689 54782   486],,
127540,[127535 127543    143],[127538 127543     60],,[127530 127546    357],[127526 127549    484],
39653,[39649 39654    81],[39649 39654    81],,[39649 39669   295],[39638 39654   376],
48183,[48177 48183   122],[48178 48184   101],[48178 48184   101],[48171 48183   424],[48174 48186   489],[48174 48186   489]
101211,,[101209 101218    126],[101209 101218    126],[101201 101218    381],[101201 101218    381],[101209 101226    457]
79066,[79057 79066    91],,,[79054 79073   399],,
46092,,,,[46092 46132   484],[46074 46118   445],
54690,,,,[54689 54782   486],,
16452,[16452 16458    78],[16452 16458    78],[16452 16458    78],[16442 16458   394],[16450 16458   186],[16450 16458   186]
54573,[54572 54578   122],,,[54565 54578   338],[54572 54592   497],[54572 54584   286]
54575,[54572 54578   122],,,[54565 54578   338],[54572 54592   497],[54572 54584   286]
19240,,,,[19240 19247   222],[19240 19250   405],[19240 19250   405]
20235,[20233 20245    84],,,[20223 20245   405],[20233 20262   323],[20233 20262   323]
41952,[41949 41956    91],[41949 41956    91],[41949 41956    91],[41943 41956   265],[41944 41956   205],[41944 41959   336]
8450,[8444 8454   93],,,[8431 8457  351],[8424 8457  465],[8431 8457  351]
79139,[79136 79141    60],,,[79123 79147   429],[79136 79158   312],
54754,,,,[54689 54782   486],,
43226,,,,,,
16900,,,,,,
19242,,,,[19240 19247   222],[19240 19250   405],[19240 19250   405]
19725,,,,,,
19244,[19243 19247    54],,,[19240 19247   222],[19240 19250   405],[19240 19250   405]
54684,[54684 54688    36],,,[54668 54688   164],,
4310,,,,[4284 4323  469],,
47533,,,,[47532 47559   372],[47526 47533   167],
19115,,,,,,
19729,,,,,,
79126,[79123 79127    66],,,[79123 79147   429],[79110 79135   423],
54483,,,,,,
107068,,,,[107051 107095    444],[107051 107095    444],
19722,,,,,,
65226,[65223 65227    69],[65223 65227    69],[65223 65227    69],[65220 65227   449],[65223 65231   254],[65223 65231   254]
19740,,,,,,
48198,,,,[48196 48199   250],[48196 48201   301],[48196 48201   301]
115407,,,,[115393 115421    408],[115393 115424    474],
107069,,,,[107051 107095    444],[107051 107095    444],
101501,[101501 101508    139],,,[101501 101555    406],[101501 101555    406],
79134,[79128 79135   108],,,[79123 79147   429],[79110 79135   423],
19721,,,,,,
65224,[65223 65227    69],[65223 65227    69],[65223 65227    69],[65220 65227   449],[65223 65231   254],[65223 65231   254]
127539,[127535 127543    143],[127538 127543     60],,[127530 127546    357],[127526 127549    484],
94483,,,,[94463 94497   382],[94463 94497   382],
19739,,,,,,
22589,[22583 22594   136],[22583 22592    75],,[22572 22592   417],[22572 22592   417],[22576 22602   460]
101210,,[101209 101218    126],[101209 101218    126],[101201 101218    381],[101201 101218    381],[101209 101226    457]
43607,,,,,,
46093,,,,[46092 46132   484],[46074 46118   445],
19737,,,,,,
15584,,,,[15530 15598   480],[15530 15598   480],
121124,,,,[121115 121142    384],,
136609,,,,[136597 136628    448],[136591 136614    404],
79128,[79128 79135   108],,,[79123 79147   429],[79110 79135   423],
20831,,,,[20815 20839   405],[20817 20846   450],
16049,[16041 16050   111],,,[16041 16068   430],[16029 16050   335],[16035 16050   200]
115406,,,,[115393 115421    408],[115393 115424    474],
54577,[54572 54578   122],,,[54565 54578   338],[54572 54592   497],[54572 54584   286]
19686,,,,,,
223494,,,,[223470 223502    477],[223474 223502    399],[223474 223502    399]
22271,[22267 22272    77],[22269 22272    22],[22267 22272    77],[22264 22277   313],[22260 22272   267],[22264 22279   454]
19732,,,,,,
54576,[54572 54578   122],,,[54565 54578   338],[54572 54592   497],[54572 54584   286]
24544,[24542 24547    81],,,[24530 24551   379],[24533 24554   303],[24533 24554   303]
101485,,,,[101477 101487    406],[101484 101491    438],[101484 101492    484]
209275,[209275 209280     83],[209275 209280     83],[209275 209280     83],[209265 209286    382],[209262 209286    482],[209259 209280    489]
107690,,,,[107670 107696    409],[107674 107696    279],[107666 107696    495]
39927,[39926 39930   148],[39926 39929    60],[39926 39929    60],[39920 39933   420],[39926 39935   370],[39912 39929   288]
22880,[22878 22881    66],[22878 22881    66],,[22878 22896   339],[22866 22881   326],[22876 22899   469]
107691,,,,[107670 107696    409],[107674 107696    279],[107666 107696    495]
22238,[22235 22241    81],,,[22235 22243   162],[22227 22243   316],[22227 22243   316]
19741,,,,,,
19734,,,,,,
132473,[132472 132482    140],[132472 132482    140],[132472 132482    140],[132465 132476    492],[132468 132482    468],[132470 132476    168]
22233,[22229 22234    66],,,[22215 22234   381],[22227 22243   316],[22227 22243   316]
19730,,,,,,
54793,,,,[54783 54812   469],[54783 54807   357],[54783 54807   357]
