,fin150_30_3,fin150_40_3,fin150_50_3,fin500_30_3,fin500_40_3,fin500_50_3
136522,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
111996,[111993 112002    138],[111993 112002    138],,[111984 112002    361],[111984 112007    475],[111984 112007    475]
54871,,,,,,
150256,[150252 150271    120],,,[150246 150273    411],,
209420,,,,[209395 209432    312],[209395 209432    312],
209425,,,,[209395 209432    312],[209395 209432    312],
209422,,,,[209395 209432    312],[209395 209432    312],
209426,,,,[209395 209432    312],[209395 209432    312],
136524,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
209423,,,,[209395 209432    312],[209395 209432    312],
136523,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
28221,[28218 28225    83],[28218 28225    83],[28218 28225    83],[28218 28244   463],[28218 28244   463],[28218 28240   349]
205783,,,,[205738 205787    459],,
161262,,,,,,
136621,[136615 136624     81],,,[136597 136628    448],[136615 136638    408],
136620,[136615 136624     81],,,[136597 136628    448],[136615 136638    408],
159602,,,,,,
58305,[58297 58305   104],[58297 58305   104],[58297 58305   104],[58297 58312   365],[58297 58308   193],[58297 58308   193]
77211,[77208 77215   106],,,[77208 77227   283],[77204 77220   315],[77197 77220   483]
54872,,,,[54872 54875   298],[54872 54875   298],[54872 54875   298]
136832,[136830 136834     62],,,[136817 136834    282],[136821 136857    469],
150269,[150252 150271    120],,,[150246 150273    411],,
20990,[20990 20995    89],,,[20988 21002   425],[20975 20991   388],[20989 21005   448]
58306,,,,[58297 58312   365],[58297 58308   193],[58297 58308   193]
76619,,,,[76616 76652   418],[76616 76653   451],
98563,,,,[98548 98567   279],[98536 98567   447],[98536 98567   447]
136619,[136615 136624     81],,,[136597 136628    448],[136615 136638    408],
20973,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
136616,[136615 136624     81],,,[136597 136628    448],[136615 136638    408],
98559,,,,[98548 98567   279],[98536 98567   447],[98536 98567   447]
209424,,,,[209395 209432    312],[209395 209432    312],
20971,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
88890,[88884 88890    35],,,[88860 88895   483],[88860 88895   483],[88860 88895   483]
192073,,,,[192071 192129    414],,
132498,[132483 132498     54],[132483 132498     54],[132483 132498     54],[132477 132498    413],[132483 132511    444],[132477 132498    413]
136614,,,,[136597 136628    448],[136591 136614    404],
205786,,,,[205738 205787    459],,
166226,,,,,,
205785,,,,[205738 205787    459],,
54326,,,,[54326 54330   410],[54326 54330   410],[54312 54326   359]
159142,,,,[159125 159165    311],[159121 159165    419],[159121 159165    419]
41463,[41462 41465    89],[41462 41465    89],[41462 41465    89],[41462 41478   482],[41462 41478   482],[41462 41472   270]
16815,,,,[16785 16819   466],[16785 16819   466],[16785 16819   466]
51643,,,,[51618 51644   289],[51618 51644   289],
136708,,,,[136693 136717    330],[136693 136717    330],[136686 136709    342]
166253,,,,,,
62933,,,,,,
54878,[54878 54881    35],[54878 54881    35],[54878 54881    35],[54878 54883   197],[54878 54883   197],[54878 54883   197]
209429,,,,[209395 209432    312],[209395 209432    312],
58307,,,,[58297 58312   365],[58297 58308   193],[58297 58308   193]
20974,,,,[20944 20987   343],[20923 20974   494],[20944 20988   382]
223906,,,,[223884 223930    361],[223890 223933    450],[223878 223930    480]
20165,[20162 20166    40],[20158 20166   127],,[20162 20179   419],[20155 20166   207],[20155 20170   362]
58304,[58297 58305   104],[58297 58305   104],[58297 58305   104],[58297 58312   365],[58297 58308   193],[58297 58308   193]
20976,[20975 20987   131],,,[20944 20987   343],[20975 20991   388],[20944 20988   382]
192077,,,,[192071 192129    414],,
114391,[114382 114391     99],,,[114378 114395    335],[114381 114395    206],
51942,,,,,,
51941,,,,,,
166251,,,,,,
61424,[61423 61427    87],[61423 61427    87],[61423 61427    87],[61423 61440   350],[61423 61430   170],[61408 61427   456]
166219,,,,,,
19952,[19952 19955   143],[19952 19955   143],,[19932 19953   396],[19945 19959   404],[19932 19953   396]
132538,,,,,,
136525,[136520 136525    114],[136520 136525    114],[136520 136525    114],[136515 136527    493],[136515 136525    322],[136515 136525    322]
132441,[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141],[132423 132441    141]
16812,,,,[16785 16819   466],[16785 16819   466],[16785 16819   466]
229475,[229467 229477    145],,,[229456 229477    279],[229456 229491    491],[229447 229477    469]
58389,[58388 58392    81],[58388 58392    81],[58388 58392    81],[58385 58403   476],[58388 58410   498],[58385 58392   246]
232912,,,,[232908 232912    293],[232908 232914    356],[232911 232919    408]
62908,,,,,,
144970,[144964 144975    107],,,[144940 144975    487],[144947 144981    497],[144947 144981    497]
181812,[181807 181812    102],[181810 181816    124],,[181810 181820    299],[181810 181820    299],[181790 181816    490]
194364,[194358 194364    108],,,[194347 194374    490],[194347 194374    490],
209427,,,,[209395 209432    312],[209395 209432    312],
54172,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
22674,[22672 22677   145],[22673 22677   102],,[22661 22680   477],[22661 22675   258],[22661 22677   330]
132473,[132472 132482    140],[132472 132482    140],[132472 132482    140],[132465 132476    492],[132468 132482    468],[132470 132476    168]
205775,,,,[205738 205787    459],,
13602,[13596 13607    97],,,[13590 13624   447],[13582 13608   315],
54170,[54165 54170    96],[54165 54170    96],,[54113 54170   467],[54113 54170   467],[54165 54222   373]
132468,,,,[132465 132476    492],[132468 132482    468],[132460 132469    423]
50787,,[50783 50787    57],[50783 50787    57],[50783 50788   168],[50783 50789   276],[50783 50789   276]
13170,,,,,,
13171,,,,,,
88880,,,,[88860 88895   483],[88860 88895   483],[88860 88895   483]
5490,,,,[5482 5505  291],[5482 5513  462],[5482 5513  462]
23062,,,,[23056 23076   455],[23056 23071   263],[23038 23064   493]
13169,,,,,,
4512,,,,,,
16074,[16073 16076    45],[16073 16076    45],[16073 16076    45],[16069 16079   471],[16069 16079   471],[16071 16076   201]
49254,[49249 49257   144],[49254 49257    45],[49254 49257    45],[49234 49257   444],[49235 49257   390],[49235 49257   390]
81380,,,,[81350 81382   438],[81368 81386   219],[81368 81386   219]
10644,[10637 10645    75],,,[10632 10653   284],[10629 10653   366],
13168,,,,,,
13166,,,,,,
132474,[132472 132482    140],[132472 132482    140],[132472 132482    140],[132465 132476    492],[132468 132482    468],[132470 132476    168]
196818,[196815 196830     90],[196815 196830     90],[196815 196830     90],[196813 196830    368],[196813 196830    368],[196813 196830    368]
13462,,,,,,
111548,[111548 111551    111],,,[111539 111549    322],[111543 111558    457],[111548 111563    477]
89430,,,,[89426 89446   305],[89426 89446   305],[89426 89446   305]
73985,[73983 73994    64],[73983 73994    64],[73983 73994    64],[73983 74007   268],[73976 74007   460],[73983 74007   268]
159685,,,,,,
54176,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
170971,,,,,,
11286,,,,,,
53451,,,,[53428 53452   352],[53421 53452   477],
13467,,,,,,
13466,,,,,,
145049,[145036 145062    139],,,[144982 145062    482],[144982 145062    482],[144982 145062    482]
146065,[146059 146071    119],[146059 146071    119],,[146059 146082    375],[146057 146082    494],[146057 146072    286]
146064,[146059 146071    119],[146059 146071    119],,[146059 146082    375],[146057 146082    494],[146057 146072    286]
54177,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
13463,,,,,,
4515,,,,,,
13465,,,,,,
146062,[146059 146071    119],[146059 146071    119],,[146059 146082    375],[146057 146082    494],[146057 146072    286]
13470,,,,,,
146061,[146059 146071    119],[146059 146071    119],,[146059 146082    375],[146057 146082    494],[146057 146072    286]
13464,,,,,,
146060,[146059 146071    119],[146059 146071    119],,[146059 146082    375],[146057 146082    494],[146057 146072    286]
146063,[146059 146071    119],[146059 146071    119],,[146059 146082    375],[146057 146082    494],[146057 146072    286]
13471,,,,,,
13469,,,,,,
160284,,,[160284 160287     65],[160283 160295    356],[160283 160299    443],[160284 160287     65]
56234,,,,[56233 56260   304],[56226 56260   486],[56226 56260   486]
146058,[146050 146058    128],[146050 146058    128],[146050 146058    128],[146040 146058    291],[146057 146082    494],[146057 146072    286]
17210,,,,[17209 17232   422],[17209 17218   167],
132470,,,,[132465 132476    492],[132468 132482    468],[132470 132476    168]
4503,[4488 4504  122],[4488 4504  122],[4488 4504  122],[4484 4504  224],[4488 4504  122],[4488 4504  122]
196816,[196815 196830     90],[196815 196830     90],[196815 196830     90],[196813 196830    368],[196813 196830    368],[196813 196830    368]
146429,[146423 146438    145],,,[146423 146446    274],[146412 146443    395],[146412 146438    323]
5839,[5830 5841  102],[5830 5841  102],,[5813 5841  426],[5824 5850  401],[5824 5850  401]
146059,[146059 146071    119],[146059 146071    119],,[146059 146082    375],[146057 146082    494],[146057 146072    286]
4010,,,,[4006 4037  327],[3985 4029  491],
9259,[9259 9262   78],[9259 9262   78],[9259 9262   78],[9231 9260  489],[9253 9262  306],[9259 9269  228]
89434,,,,[89426 89446   305],[89426 89446   305],[89426 89446   305]
4516,,,,,,
37522,[37520 37524    54],[37520 37524    54],,[37520 37540   386],[37520 37532   201],[37506 37524   276]
54185,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
4513,,,,,,
93199,,,,[93195 93219   460],[93195 93219   460],[93189 93216   360]
205779,,,,[205738 205787    459],,
54184,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
145051,[145036 145062    139],,,[144982 145062    482],[144982 145062    482],[144982 145062    482]
4509,,,,,,
54182,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
54181,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
89439,,,,[89426 89446   305],[89426 89446   305],[89426 89446   305]
54180,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
133373,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
4510,,,,,,
89435,,,,[89426 89446   305],[89426 89446   305],[89426 89446   305]
54183,,,,[54171 54222   233],[54171 54222   233],[54165 54222   373]
56233,,,,[56233 56260   304],[56226 56260   486],[56226 56260   486]
5697,[5695 5705  117],,,[5676 5705  339],[5695 5726  465],[5678 5718  402]
132475,[132472 132482    140],[132472 132482    140],[132472 132482    140],[132465 132476    492],[132468 132482    468],[132470 132476    168]
168622,[168618 168624     73],[168618 168624     73],[168618 168624     73],[168611 168635    338],[168611 168624    182],[168611 168624    182]
145050,[145036 145062    139],,,[144982 145062    482],[144982 145062    482],[144982 145062    482]
133365,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
209437,,,,[209433 209479    412],[209433 209479    412],
27015,[27015 27034    79],[27015 27034    79],,[27015 27069   408],[27007 27034   249],
89425,[89417 89425   117],[89417 89425   117],,[89404 89425   339],[89404 89425   339],[89401 89425   414]
133362,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
42679,[42663 42680   141],[42663 42680   141],[42663 42680   141],[42669 42693   260],[42669 42693   260],[42644 42680   418]
42674,[42663 42680   141],[42663 42680   141],[42663 42680   141],[42669 42693   260],[42669 42693   260],[42644 42680   418]
42675,[42663 42680   141],[42663 42680   141],[42663 42680   141],[42669 42693   260],[42669 42693   260],[42644 42680   418]
133367,,,,[133331 133375    466],[133331 133375    466],[133304 133373    494]
65224,[65223 65227    69],[65223 65227    69],[65223 65227    69],[65220 65227   449],[65223 65231   254],[65223 65231   254]
65226,[65223 65227    69],[65223 65227    69],[65223 65227    69],[65220 65227   449],[65223 65231   254],[65223 65231   254]
132508,[132503 132511     94],[132503 132511     94],,[132499 132511    236],[132483 132511    444],[132499 132511    236]
223494,,,,[223470 223502    477],[223474 223502    399],[223474 223502    399]
96630,,,,[96609 96668   436],[96609 96668   436],[96610 96660   243]
96619,,,,[96609 96668   436],[96609 96668   436],[96610 96660   243]
